排名,代號,名稱,成交,漲跌價,漲跌幅,面值(元),股本(億),發行量(萬張),市值(億),成立年數,掛牌年數,股票期貨,選擇權,權證,公司債,私募股,特別股,產業別,董事長,總經理
180,2492,華新科,77.5,-0.5,-0.64,10,48.6,48.58,376,52.4,25.1,有,,,有,,,電子零組件業,焦佑衡,顧立荊
181,2006,東和鋼鐵,51,1.2,2.41,10,73,73.02,372,60.6,34.4,有,,有,有,,,鋼鐵工業,侯傑騰,黃炳樺
182,2015,豐興,64,1.9,3.06,10,58.2,58.16,372,54,30.6,,,,,,,鋼鐵工業,林大鈞,林永源
183,2059,川湖,388.5,2.5,0.65,10,9.53,9.53,370,36.2,17.7,有,,有,,,,電子零組件業,林聰吉,林淑珍
184,1717,長興,31.3,0.2,0.64,10,118,117.8,369,58.1,28.7,有,,,有,,,化學工業,高國倫,毛惠寬
185,6589,台康生技,121,0,0,10,30.4,30.41,368,10,3.48,,,有,,有,,生技醫療業,劉理成,劉理成
186,1314,中石化,9.72,-0.01,-0.1,10,378,378.5,368,53.5,31.4,有,,,,,,塑膠工業,陳瑞隆,余建松
187,00722B,群益15年IG電信債,37.18,-0.42,-1.12,,,98.52,366,5,5.02,,,,,,,N/A,賴政昇,陳明輝
188,2881A,富邦特,60.7,0,0,,,60,364,,6.56,,,,,,,金控業,,
189,00778B,凱基金融債20+,34.44,-0.36,-1.03,,,105.4,363,3.9,3.85,,,,,,,N/A,丁紹曾,張慈恩
190,3706,神達,29.75,0.15,0.51,10,121,120.7,359,9.3,9.28,有,,,,,,電腦及週邊設備業,苗豐強,何繼武
191,1227,佳格,39.15,0.3,0.77,10,91.5,91.51,358,36.5,28.7,,,,,,,食品工業,曹德風,曹博睿
192,00720B,元大投資級公司債,35.63,-0.08,-0.22,,,99.96,356,4.9,4.89,,,,,,,N/A,劉宗聖,謝忠賢
193,3714,富采,47,0.25,0.53,10,75.5,75.48,355,2,1.96,有,有,有,,有,,光電業,李秉傑,李秉傑
194,2404,漢唐,185,1,0.54,10,19.1,19.06,353,40.3,24.8,有,,有,有,,,其他電子業,李惠文,新任者俟最近期董事會召開後再另行公告
195,00777B,凱基AAA至A公司債,34.66,-0.41,-1.17,,,100.1,347,3.9,3.85,,,,,,,N/A,丁紹曾,張慈恩
196,2388,威盛,69.6,-0.2,-0.29,10,49.7,49.63,345,30.3,23.8,有,,有,,,,半導體業,陳文琦,陳文琦
197,00740B,富邦全球投等債,38.73,-0.46,-1.17,,,88.75,344,4.6,4.54,,,,,,,N/A,史綱,李明州
198,00756B,群益15年EM主權債,32.58,-0.03,-0.09,,,104.7,341,4.2,4.17,,,,,,,N/A,賴政昇,陳明輝
199,2023,燁輝,16.8,0.8,5,10,199,198.5,333,44.7,27.4,,,,,,,鋼鐵工業,林義守,張振武
200,3576,聯合再生,20.3,0,0,10,163,162.8,330,17.3,13.9,,,有,,有,,光電業,洪傳獻,潘文輝(執行長)
201,6285,啟碁,82.5,0.9,1.1,10,39.6,39.58,327,26,19.2,有,,有,有,,,通信網路業,謝宏波,高健榮
202,9933,中鼎,41.5,0.15,0.36,10,79,78.56,326,43.7,29.6,,,,有,,,其他業,楊宗興,陳裕仁
203,6269,台郡,100,0.6,0.6,10,32.3,32.28,323,25,19.2,有,,,有,,,電子零組件業,鄭明智,鄭明智
204,2707,晶華,253,2.5,1,10,12.7,12.74,322,46.5,24.8,,,有,有,,,觀光事業,潘思亮,吳偉正
205,4128,中天,62.1,1.1,1.8,10,51.1,51.11,317,22.6,16.5,,,有,,,,生技醫療業,郭憲壽,郭憲壽
206,6116,彩晶,10.75,-0.05,-0.46,10,294,294,316,24.5,21.3,有,,,,,,光電業,焦佑麒,焦佑麒
207,6456,GIS-KY,93.4,0.1,0.11,10,33.8,33.79,316,12,7.53,,,有,,,,光電業,周賢穎,周賢穎
208,00792B,群益A級公司債,33.32,-0.2,-0.6,,,94.41,315,3.7,3.72,,,,,,,N/A,賴政昇,陳明輝
209,6271,同欣電,195,-6,-2.99,10,16.1,16.08,314,48.4,15.1,有,,有,,,,半導體業,陳泰銘,張嘉帥
210,2634,漢翔,33.25,-0.05,-0.15,10,94.2,94.19,313,26.5,8.33,,,有,有,,,航運業,胡開宏,馬萬鈞
211,1513,中興電,65.5,1.5,2.34,10,47.6,47.61,312,66.6,28.8,,,有,有,,,電機機械,江義福,郭慧娟
212,1503,士電,59.2,-0.1,-0.17,10,52.1,52.1,308,67.1,53,,,,,,,電機機械,許育瑞,謝漢章
213,6472,保瑞,405,17,4.38,10,7.54,7.54,305,15.5,5.68,,,,,,,生技醫療業,盛保熙,盛保熙
